1-2	AWSにおける「リージョン（Region）」の説明として、最も適切なものはどれですか？<br>A: 世界中に配置されている、単一の巨大なデータセンター。<br>B: 地理的に離れた世界各国の場所に存在する、独立した複数のデータセンター群（拠点）。<br>C: 1つの都市の中に設置された、高速なネットワークで繋がれたサーバーのラック。<br>D: AWSのサービスをインターネット経由で配信するためのキャッシュサーバーの設置場所。	B	
1-2	「アベイラビリティゾーン（AZ: Availability Zone）」に関する説明として、正しいものはどれですか？<br>A: 1つのリージョン内には、必ず1つだけのAZが存在する。<br>B: 異なるリージョン間にあるデータセンター同士が、同じAZとして扱われる。<br>C: 1つのリージョン内に存在し、それぞれが独立した電源や冷却設備を持つ、1つ以上のデータセンター群。<br>D: 物理的な場所ではなく、クラウド上で仮想的に作られたセキュリティの境界線。	C	AWSの「リージョン」とは、世界中に展開されている「地理的なエリア（拠点）」のことです。例えば「東京リージョン」「バージニア北部リージョン」のように、都市や地域ごとに独立して存在しています。単一の建物（データセンター）ではなく、そのエリア一帯にあるデータセンターの集まりを指します。
1-2	同じリージョン内にある「異なるAZ（例：AZ-AとAZ-B）」同士の接続環境や関係性について、正しいものはどれですか？<br>A: 低遅延（レイテンシー）で高速な専用の光ファイバーネットワークで相互接続されている。<br>B: インターネット経由で接続されているため、通信速度は不安定である。<br>C: 災害による同時被災を防ぐため、異なる国や大陸レベルで数千キロメートル離されている。<br>D: 一方のAZが停電すると、同じリージョン内の他のAZも必ず同時に停電する。	A	「アベイラビリティゾーン（AZ）」は、リージョンの中にある独立したデータセンター群のことです。「東京リージョン」という大きな枠組みの中に、物理的に場所が離れた複数のAZ（大まかに言うと、停電や洪水などの災害が同時に起きないくらい離れた別々のデータセンターの建物）が存在しています。
1-2	ある企業が、予期せぬデータセンターの災害や停電が発生した場合でも、Webアプリケーションのサービスを中断させずに継続できる「高可用性（High Availability）」なアーキテクチャを設計したいと考えています。AWSのベストプラクティスとして、最も推奨されるアプローチはどれですか？<br>A: 1つのAZの中に、多数の仮想サーバー（EC2インスタンス）を起動して並列処理させる。<br>B: アプリケーションを「複数の異なるリージョン」に全く同じ構成で展開し、常に同期させる。<br>C: アプリケーションを「同一リージョン内の複数の異なるAZ」に分散して展開する。<br>D: データをすべて物理的なオフィスのサーバーにバックアップし、AWS上は1台のサーバーで運用する。	C	AWSで最も基本かつ重要な「壊れないシステム（高可用性）」の鉄則が、この「マルチAZ（複数AZ）設計」です。<br>同一リージョン内の複数のAZにサーバーを分散させておけば、万が一「AZ-A」が落雷や火災で丸ごと全滅しても、「AZ-B」にあるサーバーが生き残っているため、サービスを止めることなく継続できます。<br>※Bの「複数リージョン」は、地球規模の災害対策にはなりますが、設定やデータの同期が非常に複雑になり、コストも跳ね上がるため、「まずはマルチAZ」がベストプラクティスです。
1-2	日本の法律や業界の規制により、「顧客の個人データは日本国内（国内の法管轄下）に保存しなければならない」という要件があります。この要件を満たすために、ソリューションアーキテクトが最優先で考慮すべき設計要素はどれですか？<br>A: 使用するAWSサービスの暗号化キーを日本国内で作成する。<br>B: 東京リージョン（ap-northeast-1）または大阪リージョン（ap-northeast-3）を選択してリソースを配置する。<br>C: 最寄りのエッジロケーション（キャッシュ拠点）を東京に設定する。<br>D: IAM（識別管理）ユーザーの言語設定を日本語にする。	B	
1-2	一般のユーザーがアクセスするWebサイトを公開するにあたり、ユーザーがページを開くまでの待ち時間（遅延）を最小限に抑えたいと考えています。また、無駄な通信コストも削減したいです。サービスの拠点を決定する際の基準として、最も適切なものはどれですか？<br>A: 利用料金が最も安いリージョンであれば、世界のどこであってもそこを選択する。<br>B: 開発チームの物理的な所在地に最も近いリージョンを選択する。<br>C: ターゲットとなるエンドユーザー（閲覧者）に地理的に最も近いリージョンを選択する。<br>D: すべてのリージョンに同じシステムを構築し、最も速いリージョンを自動で選ばせる。	C	インターネットの通信速度は、物理的な距離に影響を受けます。日本国内のユーザーをターゲットにするなら、アメリカやヨーロッパのリージョンを使うよりも、東京や大阪のリージョンを使った方が圧倒的に画面の読み込みが速くなります（低遅延）。<br>また、リージョンをまたぐ通信（国をまたぐ通信など）には余計なデータ転送コストがかかるため、「エンドユーザーに一番近いリージョンを選ぶ」のが、遅延防止とコスト削減の両面で最適解となります。
1-2	AWSの「エッジロケーション」の説明として、最も適切なものはどれですか？<br>A: 巨大なデータを安全に長期保管するための、地下に埋設されたデータセンター。<br>B: リージョンやAZとは別に、世界中の主要都市に細かく配置されている、主にデータの配信（キャッシュ）に特化した拠点。<br>C: 開発者がプログラムのコードを書き換えるために一時的に使用する、テスト用の仮想環境。<br>D: サーバーの処理能力が限界に達したときに、自動で身代わりとなるバックアップ用サーバー。	B	
1-2	エッジロケーションの代表的な仕組みである「キャッシュ（Cache）」を説明した例えとして、最も近いものはどれですか？<br>A: 毎回遠くの倉庫（リージョン）まで商品を取りに行くのが大変なので、近くのコンビニ（エッジ）によく売れる商品を置いておき、すぐに渡せるようにする。<br>B: 倉庫（リージョン）が火事になったときのために、全く同じ規模の倉庫（エッジ）をもう一つ別の国に建てておく。<br>C: 商品のパッケージを小さく圧縮して、トラックに一度に積める量を増やす。<br>D: 偽物の商品（不正アクセス）が紛れ込まないように、倉庫の入り口に警備員を配置する。	A	
1-2	世界中にユーザーを持つ動画配信サービスをAWS上に構築しています。動画データはアメリカのリージョンにあるストレージ（S3）に保存されていますが、日本のユーザーが動画を再生すると、再生が始まるまでに大きなタイムラグ（遅延）が発生してしまいます。<br>この遅延を解消し、さらに動画データを安全（HTTPS）に配信するために、エッジロケーションを活用するAWSサービスはどれですか？<br>A: Amazon EC2<br>B: Amazon CloudFront<br>C: AWS Direct Connect<br>D: Amazon Route 53	B	
1-2	企業のWebサイトが、海外からの大量の不正アクセス（DDoS攻撃：サーバーに大量のゴミデータを送りつけて麻痺させる攻撃）の標的になり、サーバーがダウンしかけています。<br>Webサーバー（EC2）があるリージョンに攻撃が直接到達する前に、世界中のエッジロケーションの段階でこの不正アクセスをブロック・防御したいと考えています。CloudFrontと組み合わせてエッジロケーションで機能させるべきセキュリティサービスはどれですか？<br>A: AWS Shield / AWS WAF<br>B: Amazon GuardDuty<br>C: AWS Inspector<br>D: IAM（Identity and Access Management）	A	
1-2	キャンペーンの開始と同時に、Webサイトへのアクセスが世界中から通常の100倍に急増することが予想されます。今のままだと、リージョン内にあるメインのWebサーバー（オリジンサーバー）へのアクセス集中によるパンク（過負荷）と、通信量に応じた従量課金コストの跳ね上がりが懸念されます。<br>エッジロケーション（CloudFront）を導入することで、これらがどのように解決されるか、最も適切な説明はどれですか？<br>A: エッジロケーションが自動的にサーバーの台数を増やしてくれるため、メインサーバーの負荷は変わらないが落ちなくなる。<br>B: 2回目以降の同じアクセスに対しては、エッジロケーションが保存したコピー（キャッシュ）を返すため、メインサーバーまでアクセスが届かず、負荷もデータ転送コストも削減できる。<br>C: メインサーバーのデータをすべてエッジロケーションに「永久に引っ越し」させるため、メインサーバー自体を解約してコストをゼロにできる。<br>D: ユーザーの通信速度を意図的に制限（低速化）することで、アクセス集中をなだらかにする。	B	
1-2	AWSの「VPC（Virtual Private Cloud）」の説明として、最も適切なものはどれですか？<br>A: AWSが世界中で共有している、誰でも自由にアクセスできる巨大な公開フォルダ。<br>B: AWSのクラウド内に、自分専用に切り出された「仮想的なプライベートネットワーク空間」。<br>C: インターネットの通信速度を10倍にするための、有料の加速オプション。<br>D: サーバーのデータを暗号化して保存するためだけのセキュリティ専用サービス。	B	VPCは、AWSという広大な土地の中に作る「自分だけのプライベートな敷地（ネットワーク）」です。<br>初期状態のAWSは地続きの広い空間ですが、VPCを作ることで「ここからここは私のプライベートなエリアです」とフェンスで囲むことができます。この敷地の中に、後述するサーバーなどを安全に配置していきます。
1-2	VPCの中に作る「サブネット（Subnet）」に関する説明として、正しいものはどれですか？<br>A: サブネットとは、VPCという敷地をさらに用途に合わせて細かく区切った「部屋（エリア）」のことである。<br>B: パブリックサブネットとプライベートサブネットは、設定する画面（UI）の色が異なるだけである。<br>C: プライベートサブネットに配置したサーバーは、設定に関わらず自動的にインターネットから丸見えになる。<br>D: 1つのサブネットは、複数のAWSリージョンをまたいで設置することができる。	A	サブネットは、VPCという大きな敷地をさらに細かく区切った「部屋（エリア）」です。<br>サブネットには大きく分けて2つの種類があります。<br>パブリックサブネット：インターネットと直接通信ができる部屋（ホームページを公開するサーバーなどを置く）。<br>プライベートサブネット：インターネットから隔離された秘密の部屋（顧客データなどの重要なデータベースを置く）。
1-2	VPCのネットワークを制御する各コンポーネント（部品）の組み合わせとして、間違っているものはどれですか？<br>A: インターネットゲートウェイ（IGW） ＝ VPCとインターネットを接続するための「玄関口（ドア）」。<br>B: ルートテーブル ＝ 通信がどこに向かえばいいかを案内する「道路標識（ネットワークの地図）」。<br>C: NATゲートウェイ ＝ プライベートサブネットのサーバーが、安全にインターネット側へ「外向きの通信（アップデートなど）」をするための窓口。<br>D: ルートテーブル ＝ サーバーのデータを自動的にバックアップして保存するハードディスク。	D	ルートテーブルはデータの保存先ではなく、通信の行き先を決める「案内板（ルーターの設定）」です。<br>インターネットゲートウェイ（IGW）：これがないとVPCはインターネットと通信できません。<br>ルートテーブル：「インターネットに行きたい通信は、IGW（玄関）へ向かってください」といったルールをサブネットごとに設定します。<br>NATゲートウェイ：秘密の部屋（プライベート）にあるサーバーが「システムのアップデートファイルをダウンロードしたい！」という時に、外からの侵入は防ぎつつ、内側からの外向きの通信だけを仲介してくれる便利な窓口です。
1-2	新しく作成したVPCの中にサブネットを作成し、そこにWebサーバー（EC2）を配置しました。サーバーにパブリックIPアドレス（公開アドレス）を割り当てたにもかかわらず、インターネットからこのサーバーにアクセスできません。<br>このサブネットを正しく「パブリックサブネット」として機能させるために、不足している設定（手順）はどれですか？<br>A: サブネットをもう一つ作成して、マルチAZ構成にする。<br>B: インターネットゲートウェイ（IGW）をVPCにアタッチ（接続）し、サブネットのルートテーブルに「0.0.0.0/0（すべての通信）の送信先をIGWにする」というルートを追加する。<br>C: NATゲートウェイをプライベートサブネットに作成し、Webサーバーからの通信をすべてそこに転送する。<br>D: VPCの利用料金プランを「パブリックプラン」にアップグレードする。	B	SAA-C03で非常によく問われる「パブリックサブネットの成立要件」です。<br>ただ部屋（サブネット）を作っただけではインターネットには繋がりません。<br>VPCにインターネットゲートウェイ（玄関）を取り付ける。<br>その部屋のルートテーブル（案内板）に「外の世界（0.0.0.0/0）に行きたいときは、あの玄関（IGW）を使ってね」という道案内（ルート）を書き込む。<br>この2つが揃って初めて、その部屋は「パブリックサブネット」になります。
1-2	ある企業の社内システムが、2つの異なるAZ（AZ-AとAZ-B）にまたがるプライベートサブネットで運用されています。これらのサーバーは、毎日深夜にインターネット経由でセキュリティパッチ（更新プログラム）をダウンロードする必要があります。<br>万が一、1つのAZでデータセンター障害が発生した場合でも、もう一方のAZのサーバーが問題なくパッチをダウンロードできるようにしたいです。最もコスト効率が良く、かつ高可用性（壊れにくい）を満たすNATゲートウェイの配置方法はどれですか？<br>A: VPC全体で1つだけNATゲートウェイをプライベートサブネットに作成する。<br>B: 各AZ（AZ-AとAZ-B）のパブリックサブネットにそれぞれ1つずつ（合計2つ）のNATゲートウェイを作成し、それぞれのAZのルートテーブルから最寄りのNATゲートウェイを指すように設定する。<br>C: 異なるリージョンにNATゲートウェイを作成し、VPCピアリングで接続する。<br>D: NATゲートウェイは使わず、すべてのサーバーをパブリックサブネットに引っ越しさせる。	B	AWSの鉄則である「単一障害点（そこが壊れたら全部道連れになる場所）をなくす」ための設計問題です。<br>NATゲートウェイは「AZ限定」のサービスです。もしAZ-AにしかNATゲートウェイを置いていない場合、AZ-Aが丸ごと停電すると、無事だったAZ-Bのサーバーまでインターネットに通信できなくなってしまいます。<br>そのため、「それぞれのAZのパブリックサブネットに1つずつNATゲートウェイを置く（冗長化する）」のが、AWSが推奨する高可用性のベストプラクティスです。
1-2	VPC内の通信を守る仕組みとして「セキュリティグループ」と「ネットワークACL（NACL）」の2つがあります。それぞれの基本的な性質の組み合わせとして、正しいものはどれですか？<br>A: セキュリティグループは「サブネット単位」で設定し、ネットワークACLは「サーバー（EC2）単位」で設定する。<br>B: セキュリティグループは「サーバー（EC2）単位」で設定し、ネットワークACLは「サブネット単位」で設定する。<br>C: どちらもまったく同じ機能であり、名前が違うだけである。<br>D: セキュリティグループは手動で設定するが、ネットワークACLはAIが自動で設定するため変更できない。	B	VPCのセキュリティは「2重の防壁」で守られています。<br>ネットワークACL（NACL）：サブネット（部屋）の入り口に立つ警備員です。部屋に入る通信と出る通信をまとめてチェックします。<br>セキュリティグループ（SG）：サーバー（EC2）という個別の家の中にいる執事です。そのサーバーに直接出入りする通信をピンポイントで管理します。
1-2	セキュリティグループは「ステートフル」、ネットワークACLは「ステートレス」という特性を持っています。この特性に関する説明として、正しいものはどれですか？<br>A: セキュリティグループ（ステートフル）は、行きの通信（インバウンド）を許可すれば、帰りの通信（アウトバウンド）は自動的に許可される。<br>B: ネットワークACL（ステートレス）は、行きの通信を許可すれば、帰りの通信も自動的に許可される。<br>C: ステートフルとは「1回通信するごとにお金（料金）がかかる」という意味である。<br>D: どちらの仕組みも、帰りの通信ルールを個別に書く必要は一切ない。	A	ステートフル（セキュリティグループ）：通信の「状態（ステート）」を記憶します。そのため、外からのアクセス（行き）を許可すると、「あ、さっき入ってきた人の帰り道ね」と判断して、帰りのルールを書いていなくても自動的に通信を通します。<br>ステートレス（ネットワークACL）：通信を一切記憶しません。そのため、行きを許可しても、帰りの通信ルール（アウトバウンド）を手動で明示的に許可してあげないと、通信が途中で遮断されてしまいます。
1-2	社内で「システムA用のVPC」と「システムB用のVPC」という2つの独立したVPCを運用しています。この2つのVPC間で、インターネットを経由させず、AWSの内部ネットワーク（プライベート）を使って安全かつ高速にデータを相互通信させたいと考えています。<br>最もシンプルかつ低遅延で実現できるAWSの接続機能はどれですか？<br>A: インターネットゲートウェイ（IGW）同士を光ファイバーで結ぶ。<br>B: AWS Direct Connectを2つのVPC間に新規で敷設する。<br>C: VPCピアリング（VPC Peering）接続を設定する。<br>D: 双方のVPCにNATゲートウェイを設置して、お互いのパブリックIP宛に通信する。	C	1対1でVPC同士を繋ぎたい場合のベストプラクティスは「VPCピアリング」です。<br>これを使うと、異なるVPCがまるで1つのネットワークであるかのように、プライベートIPアドレスを使って安全に通信できるようになります。設定も非常にシンプルで、追加のゲートウェイ機器なども必要ありません（※ただし、双方のVPCのIPアドレス帯が重複していないことが条件です）。
1-2	プライベートサブネットにあるEC2サーバーから、ストレージサービスである「Amazon S3」に溜まったログデータを安全に転送したいと考えています。セキュリティ要件として、「通信を一切インターネットに出してはならない（NATゲートウェイも経由させない）」という厳しいルールがあります。<br>この要件を満たすために、VPC内に作成すべきものはどれですか？<br>A: S3専用のパブリックサブネット<br>B: VPCエンドポイント（VPC Endpoint）<br>C: 仮想プライベートゲートウェイ（VGW）<br>D: ソフトウェアVPN	B	Amazon S3やDynamoDBといったサービスは、実はVPCの「外（インターネット側）」に存在するサービスです。通常ならNATゲートウェイなどを経由してアクセスしますが、それだと僅かにインターネットの経路をかすめることになります。<br>「VPCエンドポイント」を設置すると、VPCの敷地内からS3などのサービスへ「AWSの内部ネットワークだけを通る専用の秘密の抜け道（プライベートリンク）」を開通させることができます。これにより、インターネットを一切経由しない強固なセキュリティが実現します。
1-2	VPC内にサブネットを作成する際、そのサブネットで利用できるIPアドレスの範囲を「10.0.1.0/24」のように指定します（CIDR表記）。この「/24」という表記において、サブネット内で理論上作成できる最大のIPアドレス数として正しいものはどれですか？<br>A: 24個<br>B: 128個<br>C: 256個	C	ネットワークの範囲を表すCIDR（サイダー）表記の基本です。<br>/24 というのは、32ビットあるIPアドレスのうち「後ろの8ビットを自由に使っていいですよ」という意味になります。2の8乗（2×2×2×2×2×2×2×2）を計算すると 256 になるため、理論上は「10.0.1.0 〜 10.0.1.255」までの計256個のIPアドレスをこのサブネットの中で使えることになります。<br>※ちなみに /16 だと65,536個になります。数字が小さくなるほど、使えるアドレスの数が増えます。
1-2	問1で「10.0.1.0/24」というサブネットを作成した場合、理論上は256個のIPアドレスが利用可能ですが、実際にユーザーが仮想サーバー（EC2）などに自由に割り当てられるIPアドレスの数は251個になります。<br>AWSがサブネットごとに「自動的に予約（確保）していて、ユーザーが使えないIPアドレス」は何個ありますか？<br>A: 1個（最後の .255 のみ）<br>B: 2個（最初と最後）<br>C: 5個（最初から4つと、最後の1つ）<br>D: 0個（設定次第で256個すべて使える）	C	AWSの超重要・超定番の試験ポイントです。<br>AWSでは、どのような大きさのサブネットを作っても、必ず「最初から4つ」と「最後の1つ」の合計5つのIPアドレスをAWSの内部管理用（ルーターやDNS用など）として自動的に予約・固定します。<br>具体的に 10.0.1.0/24 の場合、以下の5つはサーバーに割り当てられません。<br>10.0.1.0：ネットワークアドレス<br>10.0.1.1：VPCルーター用<br>10.0.1.2：DNSサーバー（AmazonProvidedDNS）用<br>10.0.1.3：将来の利用のための予約<br>10.0.1.255：ネットワークブロードキャストアドレス
1-2	ある企業が、今後の事業拡大に伴って数千台規模のコンテナやサーバー（EC2）をパブリックサブネットおよびプライベートサブネットに配置するシステムを計画しています。初期設計として、VPC全体のCIDRを「10.0.0.0/24」として定義し、その中にサブネットを2つ作成しようとしています。<br>この設計について、ソリューションアーキテクトとしての適切な評価・指摘はどれですか？<br>A: 完璧な設計である。/24 であれば将来的に数万台のサーバーを追加しても問題ない。<br>B: 不適切である。10.0.0.0/24（256個）では、サブネットを分割した際に各サブネットで使えるIPアドレスが100個程度になってしまい、将来の規模拡大に対してすぐにIPアドレスが枯渇する。より広い範囲（例：10.0.0.0/16）でVPCを再設計すべきである。<br>C: 不適切である。AWSでは 10. から始まるIPアドレスをVPCに使用することは禁止されている。<br>D: 適切である。サーバーの台数が増えても、AWSが自動的にVPCのサイズを /8 まで拡張してくれるため心配ない。	B	実務のケーススタディを意識した問題です。<br>VPCやサブネットのサイズ（IPアドレスの枠）は、一度作成した後にその場でサイズを自由に変更（引き伸ばしたり縮めたり）することができません（※セカンダリCIDRという追加手段はありますが複雑になります）。<br>そのため、将来大きな規模になることが予想される場合は、最初から十分な広さ（例：10.0.0.0/16 ＝ 65,536個）のVPCを作り、サブネットにも余裕を持ったサイズ（例：/20 や /22 など）を割り当てるのがベストプラクティスです。AWSが勝手に枠を広げてくれることはありません。
1-2	EC2サーバーで動くアプリケーションの「高可用性（障害への強さ）」を確保するため、ロードバランサー（ALB）と複数のEC2サーバーを組み合わせたWebシステムを設計しています。<br>このとき、サブネットの配置において満たすべき「AWSの制限（仕様）」およびベストプラクティスとして、最も適切なものはどれですか？<br>A: 1つのサブネットは自動的に複数のAZ（アベイラビリティゾーン）にまたがって作られるため、サブネットは1つだけ作ればよい。<br>B: サブネットは「1つのAZ」にのみ紐づく仕様である。そのため、高可用性を実現するには、異なるAZ（AZ-AとAZ-B）にそれぞれ独立したサブネットを作成し、そこにサーバーを分散配置する必要がある。<br>C: サブネットは「異なるリージョン」をまたぐことができるため、東京と大阪にまたがるサブネットを1つ作成する。<br>D: パブリックサブネットとプライベートサブネットは同じAZに混在させてはならない。	B	「リージョン、AZ、VPC、サブネット」の位置関係を正確に理解しているかを問う良問です。<br>もっとも重要なルールは、「1つのサブネットは、特定の1つのAZの中にしか作れない（AZをまたげない）」という点です。<br>したがって、「マルチAZでサーバーを分散させて、片方のデータセンターが潰れても生き残るシステムにしたい！」という場合は、必ず「AZ-A用のサブネット」と「AZ-B用のサブネット」というように、最低2つのサブネットを別々のAZに作ってあげる必要があります。
1-2	プライベートサブネットにあるデータベースサーバーや社内システムサーバー（EC2）は、セキュリティ上、インターネットからの直接の侵入を防ぐためにプライベートIPアドレスしか持っていません。<br>しかし、これらのサーバーも「OSのセキュリティアップデート」や「外部のAPIとの通信」のために、自分から外のインターネットへ通信を繋ぎに行きたい瞬間があります。このときに必要となるNATゲートウェイの役割として、正しいものはどれですか？<br>A: 外のインターネットからの接続要求をすべて受け入れて、中のサーバーへ転送する。<br>B: プライベートIPアドレスを、インターネットで通信可能な「パブリックIPアドレス」にその場で翻訳（変換）して外へ送り出す。<br>C: 通信速度を遅くすることで、サーバーにかかる負荷を軽減する。<br>D: サーバーのデータを暗号化して、自動的に別のリージョンへバックアップする。	B	NAT（Network Address Translation）とは、その名の通り「アドレスを変換する」仕組みです。<br>インターネットの世界では、プライベートIPアドレスのままだと通信ができません（住所不定扱いになります）。そこで、NATゲートウェイが「中からの通信を預かり、自分のパブリックIPアドレスに翻訳して外の世界へ届ける」という代理人の役割を果たします。<br>重要なのは、「中から外への通信（アウトバウンド）」は通しますが、「外から中への通信（インバウンド）」は完全にブロックするという点です。これにより、サーバーの安全を守ったままアップデートが可能になります。
1-2	NATゲートウェイをVPC内に作成・配置する際、AWSのアーキテクチャ上のルールとして絶対に守らなければならない配置場所はどれですか？<br>A: プライベートサブネットの中<br>B: パブリックサブネットの中<br>C: VPCの外側（リージョンの境界線上）<br>D: インターネットゲートウェイの内部	B	NATゲートウェイは「プライベートサブネットにいるサーバーを助けるためのもの」ですが、NATゲートウェイ自体がインターネットと通信できなければ意味がありません。<br>そのため、NATゲートウェイは必ず「インターネットゲートウェイ（玄関）への道案内がある部屋」、つまり「パブリックサブネット」に配置する必要があります。<br>中のサーバー → NATゲートウェイ（パブリックサブネット） → インターネットゲートウェイ → 外の世界、という順番で通信が流れます。